Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,Bulgarian Socialist Party,United Patriots,IMRO – Bulgarian National Movement,National Front for the Salvation of Bulgaria,Attack,Alternative for Bulgarian Revival,Movement for Rights and Freedoms,Volya,Reformist Bloc,Democratic Bulgaria,Democrats for a Strong Bulgaria,"Yes, Bulgaria!",There Are Such People,Stand Up! Mutri out!,Revival,Republicans for Bulgaria,Volya–NFSB,The Bulgarian Patriots,Other
Trend,24 hours,2018-09-04,2018-09-11,National,1006,Provided,63.1%,0.1%,36.3%,31.2%,9.0%,Not Available,Not Available,Not Available,Not Available,10.1%,2.4%,2.1%,3.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Trend,24 hours,2018-08-01,2018-08-10,National,1006,Provided,63.0%,0.1%,37.1%,31.9%,8.9%,Not Available,Not Available,Not Available,Not Available,9.2%,2.2%,1.9%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Trend,24 hours,2018-07-01,2018-07-08,National,1007,Provided,63.0%,0.1%,37.4%,30.5%,8.6%,Not Available,Not Available,Not Available,Not Available,8.8%,2.4%,1.7%,3.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Mediana,,2018-07-01,2018-07-06,National,1008,Provided,77.7%,0.1%,31.9%,26.4%,12.5%,Not Available,Not Available,Not Available,2.4%,10.7%,2.7%,1.8%,2.1%,0.5%,Not Available,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,3.1%
Market LINKS,,2018-06-23,2018-10-28,National,1065,Provided,55.8%,0.1%,36.4%,30.3%,7.5%,Not Available,Not Available,Not Available,Not Available,7.3%,1.8%,Not Available,5.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%
Alpha Research,Dnevnik,2018-06-17,2018-06-25,National,1017,Provided,65.4%,0.1%,37.5%,30.7%,7.6%,Not Available,Not Available,Not Available,Not Available,7.5%,3.4%,Not Available,3.4%,Not Available,Not Available,Not Available,Not Available,0.6%,Not Available,Not Available,Not Available,9.3%
Trend,24 hours,2018-06-01,2018-06-09,National,1008,Provided,63.0%,0.1%,36.7%,31.4%,8.7%,Not Available,Not Available,Not Available,Not Available,10.5%,3.0%,1.9%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.4%
Trend,24 hours,2018-05-02,2018-05-10,National,1009,Provided,61.5%,0.1%,37.1%,31.1%,8.6%,Not Available,Not Available,Not Available,Not Available,10.4%,2.8%,2.1%,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.2%
Trend,24 hours,2018-03-01,2018-03-07,National,1004,Provided,60.4%,0.1%,34.9%,30.5%,8.4%,Not Available,Not Available,Not Available,Not Available,10.9%,2.6%,2.6%,Not Available,1.7%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.8%
Trend,24 hours,2018-02-01,2018-02-08,National,1004,Provided,59.8%,0.1%,34.6%,30.4%,8.7%,Not Available,Not Available,Not Available,Not Available,10.7%,2.5%,2.0%,Not Available,1.7%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.9%
Trend,24 hours,2018-01-10,2018-01-18,National,1002,Provided,60.9%,0.1%,35.8%,30.0%,8.7%,Not Available,Not Available,Not Available,Not Available,10.0%,2.6%,3.1%,Not Available,1.6%,2.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Exacta,,2017-12-07,2017-12-13,National,1000,Provided,67.5%,0.1%,41.3%,30.7%,9.0%,Not Available,Not Available,Not Available,Not Available,8.4%,2.7%,2.1%,Not Available,1.9%,1.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.8%
Trend,24 hours,2017-12-01,2017-12-10,National,1003,Provided,60.6%,0.1%,36.6%,29.7%,8.6%,Not Available,Not Available,Not Available,Not Available,9.9%,2.6%,3.1%,Not Available,1.8%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.1%
Market LINKS,,2017-11-24,2017-12-04,National,1058,Provided,58.6%,0.1%,37.7%,28.8%,6.5%,Not Available,Not Available,Not Available,Not Available,6.3%,2.7%,Not Available,Not Available,3.6%,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.0%
Trend,24 hours,2017-11-03,2017-11-12,National,1005,Provided,60.6%,0.1%,33.7%,28.3%,8.6%,Not Available,Not Available,Not Available,Not Available,10.0%,2.9%,2.9%,Not Available,1.7%,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.7%
Market LINKS,,2017-10-06,2017-10-16,National,1017,Provided,57.7%,0.1%,35.9%,30.0%,7.3%,Not Available,Not Available,Not Available,1.7%,5.7%,5.7%,2.3%,Not Available,2.1%,5.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%
Trend,24 hours,2017-03-10,2017-03-16,National,1004,Provided,67.0%,0.1%,29.8%,27.9%,10.2%,Not Available,Not Available,Not Available,2.6%,8.7%,7.3%,3.8%,Not Available,2.3%,2.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.3%
Trend,24 hours,2017-02-02,2017-02-09,National,1002,Provided,61.0%,0.1%,29.7%,28.7%,9.9%,Not Available,Not Available,Not Available,2.0%,9.0%,6.5%,3.4%,Not Available,2.0%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.5%
Trend,,2017-01-10,2017-01-17,National,1002,Provided,Not Available,0.1%,32.2%,29.3%,10.4%,Not Available,Not Available,Not Available,1.0%,7.8%,5.9%,3.7%,Not Available,1.2%,0.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
